,Fechas,Links
92,"diciembre 17, 2022",https://lopezobrador.org.mx/2022/12/17/version-estenografica-dialogo-con-la-comunidad-de-san-francisco-de-lajas-desde-durango/
93,"diciembre 16, 2022",https://lopezobrador.org.mx/2022/12/16/version-estenografica-inauguracion-del-centro-turistico-islas-marias-en-isla-maria-madre-nayarit/
94,"diciembre 16, 2022",https://lopezobrador.org.mx/2022/12/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-873/
95,"diciembre 15, 2022",https://lopezobrador.org.mx/2022/12/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-872/
96,"diciembre 14, 2022",https://lopezobrador.org.mx/2022/12/14/version-estenografica-homenaje-postumo-miguel-barbosa-huerta/
97,"diciembre 14, 2022",https://lopezobrador.org.mx/2022/12/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-871/
98,"diciembre 13, 2022",https://lopezobrador.org.mx/2022/12/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-870/
99,"diciembre 9, 2022",https://lopezobrador.org.mx/2022/12/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-869/
100,"diciembre 8, 2022",https://lopezobrador.org.mx/2022/12/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-868/
101,"diciembre 7, 2022",https://lopezobrador.org.mx/2022/12/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-867/
102,"diciembre 6, 2022",https://lopezobrador.org.mx/2022/12/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-866/
103,"diciembre 5, 2022",https://lopezobrador.org.mx/2022/12/05/version-estenografica-plan-de-salud-imss-bienestar-desde-escarcega-campeche/
104,"diciembre 5, 2022",https://lopezobrador.org.mx/2022/12/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-campeche-3/
105,"diciembre 2, 2022",https://lopezobrador.org.mx/2022/12/02/version-estenografica-restauracion-del-fuerte-de-san-juan-de-ulua-en-veracruz/
106,"diciembre 2, 2022",https://lopezobrador.org.mx/2022/12/02/version-estenografica-48-sesion-ordinaria-del-consejo-nacional-de-seguridad-publica-desde-veracruz/
107,"diciembre 2, 2022",https://lopezobrador.org.mx/2022/12/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-865/
108,"diciembre 1, 2022",https://lopezobrador.org.mx/2022/12/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-864/
109,"noviembre 30, 2022",https://lopezobrador.org.mx/2022/11/30/version-estenografica-plan-nacional-de-salud-imss-bienestar-desde-coatzacoalcos-veracruz/
110,"noviembre 30, 2022",https://lopezobrador.org.mx/2022/11/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-863/
